order_id,customer_id,order_date,product_id,quantity,delivery_status
90001,21,06/03/2022,P18,2,Shipped
90002,35,03/03/2022,P16,2,Delivered
90003,8,26/06/2022,P40,1,Shipped
90004,78,20/08/2022,P33,1,Delivered
90005,38,17/05/2022,P13,3,Shipped
90006,97,25/01/2022,P27,3,Shipped
90007,22,06/05/2022,P32,1,Shipped
90008,41,13/03/2022,P22,1,Delivered
90009,87,06/12/2022,P17,2,Shipped
90010,31,07/01/2022,P28,3,Delivered
90011,25,21/11/2022,P06,2,Shipped
90012,49,18/08/2022,P17,2,Shipped
90013,66,04/09/2022,P39,1,Delivered
90014,48,07/05/2022,P35,2,Delivered
90015,69,10/03/2022,P21,2,Shipped
90016,15,16/01/2022,P21,3,Processing
90017,39,25/04/2022,P04,2,Shipped
90018,4,22/08/2022,P33,2,Processing
90019,80,25/03/2023,P10,1,Delivered
90020,48,08/08/2022,P04,2,Delivered
90021,46,29/05/2022,P24,2,Processing
90022,40,04/11/2022,P18,3,Shipped
90023,45,29/12/2022,P37,1,Shipped
90024,74,15/03/2023,P32,1,Processing
90025,43,05/07/2022,P33,2,Processing
90026,54,25/01/2023,P01,2,Shipped
90027,92,27/12/2022,P28,3,Delivered
90028,100,08/03/2022,P38,1,Processing
90029,33,23/01/2023,P10,3,Processing
90030,47,08/04/2022,P08,1,Delivered
90031,35,08/12/2022,P10,1,Delivered
90032,32,31/12/2022,P01,3,Processing
90033,14,27/02/2022,P27,2,Delivered
90034,67,16/01/2022,P03,2,Shipped
90035,10,28/10/2022,P16,1,Delivered
90036,64,26/01/2022,P13,2,Processing
90037,55,01/12/2023,P22,2,Processing
90038,60,09/08/2022,P21,1,Processing
90039,39,31/01/2023,P26,3,Delivered
90040,57,02/03/2023,P08,3,Shipped
90041,13,05/12/2022,P06,3,Shipped
90042,78,06/01/2022,P11,3,Shipped
90043,98,23/08/2022,P32,2,Processing
90044,50,18/02/2023,P18,1,Delivered
90045,86,24/02/2023,P30,1,Delivered
90046,91,26/01/2023,P21,1,Delivered
90047,98,03/08/2023,P31,1,Processing
90048,45,19/04/2022,P28,2,Delivered
90049,9,03/05/2023,P32,1,Delivered
90050,13,28/08/2022,P34,3,Shipped
90051,62,04/05/2022,P32,1,Processing
90052,91,27/03/2023,P22,3,Shipped
90053,87,04/06/2022,P02,2,Processing
90054,34,05/06/2022,P27,1,Processing
90055,98,17/10/2022,P34,1,Delivered
90056,60,12/01/2022,P17,1,Delivered
90057,68,15/03/2023,P18,1,Processing
90058,72,18/02/2022,P07,1,Delivered
90059,93,14/12/2022,P23,3,Processing
90060,69,23/06/2022,P37,1,Shipped
90061,3,12/07/2022,P01,3,Delivered
90062,88,17/07/2022,P33,1,Processing
90063,96,30/09/2022,P08,1,Delivered
90064,82,22/06/2022,P35,2,Delivered
90065,27,21/02/2022,P09,3,Processing
90066,3,01/08/2022,P26,2,Delivered
90067,44,01/04/2022,P31,2,Processing
90068,46,22/07/2022,P32,1,Delivered
90069,79,01/12/2022,P19,1,Shipped
90070,94,11/09/2022,P09,3,Processing
90071,12,11/04/2022,P39,3,Shipped
90072,76,15/12/2022,P27,2,Shipped
90073,26,03/07/2022,P26,1,Shipped
90074,19,23/04/2022,P07,3,Shipped
90075,61,28/01/2022,P36,2,Delivered
90076,28,03/06/2023,P37,2,Delivered
90077,64,13/02/2023,P38,1,Processing
90078,32,01/03/2023,P01,1,Shipped
90079,63,12/03/2022,P12,2,Shipped
90080,93,02/01/2022,P08,2,Processing
90081,94,25/08/2022,P04,3,Shipped
90082,21,03/05/2022,P13,2,Delivered
90083,91,18/04/2022,P25,3,Delivered
90084,8,21/03/2023,P16,1,Processing
90085,9,03/02/2022,P36,3,Processing
90086,93,25/03/2023,P38,1,Delivered
90087,21,03/05/2023,P32,3,Shipped
90088,34,21/10/2022,P01,3,Shipped
90089,88,24/09/2022,P40,2,Shipped
90090,41,18/05/2022,P20,3,Processing
90091,96,03/10/2022,P04,2,Processing
90092,74,03/05/2022,P10,2,Delivered
90093,75,30/05/2022,P23,2,Delivered
90094,82,11/05/2022,P12,2,Delivered
90095,85,16/10/2022,P21,3,Delivered
90096,100,02/11/2022,P29,1,Delivered
90097,68,23/06/2022,P05,2,Delivered
90098,71,05/08/2022,P31,3,Shipped
90099,64,29/08/2022,P11,2,Delivered
90100,83,01/04/2022,P16,2,Shipped
90101,18,03/09/2023,P07,3,Shipped
90102,42,01/10/2023,P39,1,Delivered
90103,2,01/03/2023,P18,3,Delivered
90104,11,15/06/2022,P33,1,Shipped
90105,39,07/11/2022,P33,2,Shipped
90106,73,21/02/2023,P13,2,Delivered
90107,44,03/06/2022,P10,1,Shipped
90108,92,28/02/2023,P40,3,Shipped
90109,23,28/04/2022,P08,2,Processing
90110,40,16/04/2022,P30,2,Processing
90111,73,17/09/2022,P03,3,Processing
90112,55,19/01/2023,P37,3,Delivered
90113,62,24/11/2022,P16,3,Processing
90114,3,10/04/2022,P27,1,Processing
90115,15,08/12/2022,P15,3,Shipped
90116,94,21/05/2022,P05,1,Delivered
90117,46,20/01/2023,P25,2,Shipped
90118,43,18/11/2022,P16,2,Delivered
90119,62,15/03/2023,P10,3,Shipped
90120,17,16/04/2022,P32,2,Processing
90121,51,16/05/2022,P19,1,Delivered
90122,12,01/10/2022,P18,2,Delivered
90123,4,26/11/2022,P31,2,Delivered
90124,10,04/06/2022,P06,3,Shipped
90125,84,26/08/2022,P19,3,Processing
90126,72,04/01/2022,P37,3,Delivered
90127,50,24/03/2022,P04,3,Shipped
90128,90,10/07/2022,P24,3,Delivered
90129,63,24/02/2023,P37,2,Shipped
90130,15,15/07/2022,P38,3,Delivered
90131,84,29/09/2022,P09,2,Delivered
90132,3,12/08/2022,P31,3,Shipped
90133,61,08/04/2022,P14,1,Delivered
90134,3,10/08/2022,P27,2,Shipped
90135,99,20/09/2022,P25,2,Processing
90136,79,28/08/2022,P30,1,Processing
90137,3,14/12/2022,P02,2,Delivered
90138,30,15/04/2022,P14,2,Processing
90139,16,25/09/2022,P31,1,Shipped
90140,31,09/02/2022,P07,3,Processing
90141,50,28/10/2022,P33,3,Shipped
90142,34,27/10/2022,P24,1,Delivered
90143,44,14/05/2022,P39,2,Shipped
90144,71,10/05/2022,P25,1,Delivered
90145,45,31/03/2023,P10,1,Shipped
90146,7,13/03/2022,P37,2,Delivered
90147,1,01/05/2023,P40,2,Delivered
90148,65,24/01/2023,P20,2,Processing
90149,9,13/12/2022,P19,1,Delivered
90150,59,01/02/2022,P33,1,Delivered
90151,26,30/10/2022,P08,2,Shipped
90152,71,17/02/2023,P10,1,Processing
90153,72,05/05/2022,P01,2,Shipped
90154,100,22/08/2022,P10,2,Processing
90155,56,24/11/2022,P21,2,Shipped
90156,74,12/10/2022,P17,1,Processing
90157,47,28/01/2022,P22,2,Shipped
90158,56,19/05/2022,P30,2,Delivered
90159,84,02/05/2023,P04,2,Delivered
90160,55,16/01/2023,P39,2,Processing
90161,26,02/10/2023,P33,2,Processing
90162,3,08/02/2022,P07,3,Processing
90163,18,01/02/2022,P34,1,Delivered
90164,22,02/03/2023,P28,2,Shipped
90165,11,24/08/2022,P07,3,Shipped
90166,92,25/10/2022,P32,2,Delivered
90167,77,29/11/2022,P21,2,Delivered
90168,56,03/06/2022,P13,2,Delivered
90169,28,24/03/2023,P20,3,Processing
90170,88,29/12/2022,P39,3,Shipped
90171,36,17/10/2022,P14,1,Processing
90172,36,22/11/2022,P13,1,Delivered
90173,93,20/06/2022,P10,1,Delivered
90174,70,25/02/2022,P27,3,Shipped
90175,13,17/11/2022,P15,2,Processing
90176,88,24/02/2022,P03,3,Delivered
90177,27,16/06/2022,P36,1,Delivered
90178,44,28/02/2022,P40,1,Shipped
90179,8,22/06/2022,P10,1,Processing
90180,7,20/04/2022,P11,1,Delivered
90181,47,21/12/2022,P13,2,Delivered
90182,21,31/07/2022,P02,1,Processing
90183,74,03/06/2023,P24,2,Shipped
90184,80,01/04/2022,P30,2,Delivered
90185,16,03/07/2023,P03,2,Shipped
90186,12,01/06/2022,P16,2,Shipped
90187,91,06/07/2022,P07,2,Delivered
90188,40,30/06/2022,P15,1,Shipped
90189,34,16/09/2022,P14,1,Delivered
90190,32,26/01/2022,P15,3,Processing
90191,73,22/03/2022,P21,3,Processing
90192,6,23/10/2022,P06,1,Processing
90193,73,04/04/2022,P33,2,Shipped
90194,86,05/07/2022,P30,1,Delivered
90195,36,29/10/2022,P16,1,Delivered
90196,9,25/02/2023,P08,1,Delivered
90197,58,19/07/2022,P12,3,Processing
90198,83,07/07/2022,P19,2,Processing
90199,5,06/06/2022,P06,3,Delivered
90200,18,25/09/2022,P33,2,Delivered
90201,10,10/05/2022,P11,1,Shipped
90202,20,27/09/2022,P12,2,Delivered
90203,80,15/03/2022,P04,3,Shipped
90204,94,25/06/2022,P36,1,Shipped
90205,22,28/06/2022,P26,3,Shipped
90206,98,01/03/2023,P35,1,Shipped
90207,46,02/04/2022,P18,2,Delivered
90208,25,05/09/2022,P20,2,Shipped
90209,17,09/08/2022,P05,2,Shipped
90210,47,31/10/2022,P18,2,Delivered
90211,22,26/04/2022,P07,1,Processing
90212,70,06/05/2022,P23,3,Processing
90213,87,04/11/2022,P38,2,Processing
90214,85,25/06/2022,P33,3,Processing
